lc_uri,snac_ark
http://id.loc.gov/authorities/names/n50034231,http://n2t.net/ark:/99166/w6b85d67
http://id.loc.gov/authorities/names/n50054830,http://n2t.net/ark:/99166/w68s55qm
http://id.loc.gov/authorities/names/n2006164210,http://n2t.net/ark:/99166/w6tx6ktn
http://id.loc.gov/authorities/names/no2009026998,http://n2t.net/ark:/99166/w65q6thj
http://id.loc.gov/authorities/names/n81070586,http://n2t.net/ark:/99166/w62n5nkc
http://id.loc.gov/authorities/names/n50013841,http://n2t.net/ark:/99166/w6s503hn
http://id.loc.gov/authorities/names/nr90013945,http://n2t.net/ark:/99166/w6sn0nbv
http://id.loc.gov/authorities/names/n50025420,http://n2t.net/ark:/99166/w6h70hnm
http://id.loc.gov/authorities/names/n95071271,http://n2t.net/ark:/99166/w64j0f6n
http://id.loc.gov/authorities/names/n79008211,http://n2t.net/ark:/99166/w60v8ffp
http://id.loc.gov/authorities/names/n84095441,http://n2t.net/ark:/99166/w65b04t7
http://id.loc.gov/authorities/names/n50082255,http://n2t.net/ark:/99166/w6n32h0q
http://id.loc.gov/authorities/names/n50041761,http://n2t.net/ark:/99166/w6hq4689
http://id.loc.gov/authorities/names/no92025813,http://n2t.net/ark:/99166/w67661vz
http://id.loc.gov/authorities/names/nr2001010299,http://n2t.net/ark:/99166/w6ns4gtq
http://id.loc.gov/authorities/names/nr97005658,http://n2t.net/ark:/99166/w6qk24tc
http://id.loc.gov/authorities/names/n79071332,http://n2t.net/ark:/99166/w68w7k0z
http://id.loc.gov/authorities/names/n50038212,http://n2t.net/ark:/99166/w60006c7
http://id.loc.gov/authorities/names/n87116703,http://n2t.net/ark:/99166/w6ff47th
http://id.loc.gov/authorities/names/no2002013338,http://n2t.net/ark:/99166/w6fn492j
http://id.loc.gov/authorities/names/no98124976,http://n2t.net/ark:/99166/w6t75t2d
http://id.loc.gov/authorities/names/nr90026308,http://n2t.net/ark:/99166/w6z60ngq
http://id.loc.gov/authorities/names/nr2006006487,http://n2t.net/ark:/99166/w6x65z4j
http://id.loc.gov/authorities/names/n96022149,http://n2t.net/ark:/99166/w6sr33hn
http://id.loc.gov/authorities/names/n88651134,http://n2t.net/ark:/99166/w6447p1t
http://id.loc.gov/authorities/names/n87804019,http://n2t.net/ark:/99166/w6xw6qm6
http://id.loc.gov/authorities/names/no2002042337,http://n2t.net/ark:/99166/w6158kj3
http://id.loc.gov/authorities/names/n83827643,http://n2t.net/ark:/99166/w69s22j9
http://id.loc.gov/authorities/names/n93053898,http://n2t.net/ark:/99166/w6st8frh
http://id.loc.gov/authorities/names/n2004030461,http://n2t.net/ark:/99166/w6t01nt8
http://id.loc.gov/authorities/names/n87121535,http://n2t.net/ark:/99166/w6rr2j3z
http://id.loc.gov/authorities/names/n92027334,http://n2t.net/ark:/99166/w6546rm6
http://id.loc.gov/authorities/names/n92073569,http://n2t.net/ark:/99166/w68g8kqm
http://id.loc.gov/authorities/names/nr2003003651,http://n2t.net/ark:/99166/w6417fqv
http://id.loc.gov/authorities/names/n50035565,http://n2t.net/ark:/99166/w60p11b0
http://id.loc.gov/authorities/names/no93025154,http://n2t.net/ark:/99166/w6mw32sn
http://id.loc.gov/authorities/names/n83061173,http://n2t.net/ark:/99166/w60p1khv
http://id.loc.gov/authorities/names/n86049967,http://n2t.net/ark:/99166/w6cn74nm
http://id.loc.gov/authorities/names/n50054426,http://n2t.net/ark:/99166/w6mc93mx
http://id.loc.gov/authorities/names/n87844312,http://n2t.net/ark:/99166/w6tt4sb2
http://id.loc.gov/authorities/names/n85067396,http://n2t.net/ark:/99166/w6w09hvq
http://id.loc.gov/authorities/names/no2012030892,http://n2t.net/ark:/99166/w69w4jq4
http://id.loc.gov/authorities/names/n87101479,http://n2t.net/ark:/99166/w64x5t3j
http://id.loc.gov/authorities/names/n85363380,http://n2t.net/ark:/99166/w63b6zbj
http://id.loc.gov/authorities/names/n83069810,http://n2t.net/ark:/99166/w6n878h5
http://id.loc.gov/authorities/names/n87105969,http://n2t.net/ark:/99166/w6pk0rcx
http://id.loc.gov/authorities/names/n50034374,http://n2t.net/ark:/99166/w6vq3bdg
http://id.loc.gov/authorities/names/n86134266,http://n2t.net/ark:/99166/w6vh5qsn
http://id.loc.gov/authorities/names/n85253454,http://n2t.net/ark:/99166/w6n58nmd
http://id.loc.gov/authorities/names/no2001078439,http://n2t.net/ark:/99166/w63227tv
http://id.loc.gov/authorities/names/no2006060393,http://n2t.net/ark:/99166/w6j10jmt
http://id.loc.gov/authorities/names/n50074090,http://n2t.net/ark:/99166/w6g73bs5
http://id.loc.gov/authorities/names/n83178933,http://n2t.net/ark:/99166/w68d0qzp
http://id.loc.gov/authorities/names/n79021469,http://n2t.net/ark:/99166/w61z46wf
http://id.loc.gov/authorities/names/n50006655,http://n2t.net/ark:/99166/w6zc871p
http://id.loc.gov/authorities/names/n80002307,http://n2t.net/ark:/99166/w6154gks
http://id.loc.gov/authorities/names/nr95001105,http://n2t.net/ark:/99166/w61n8k6f
http://id.loc.gov/authorities/names/n79112342,http://n2t.net/ark:/99166/w6cj8zr7
http://id.loc.gov/authorities/names/n82013434,http://n2t.net/ark:/99166/w6f351vd
http://id.loc.gov/authorities/names/n50010851,http://n2t.net/ark:/99166/w60g3qt7
http://id.loc.gov/authorities/names/n84044774,http://n2t.net/ark:/99166/w6k6565s
http://id.loc.gov/authorities/names/n81004151,http://n2t.net/ark:/99166/w6ft9db0
http://id.loc.gov/authorities/names/nr90006881,http://n2t.net/ark:/99166/w6v70rv9
http://id.loc.gov/authorities/names/no2010070357,http://n2t.net/ark:/99166/w6hq4jcs
http://id.loc.gov/authorities/names/no00070025,http://n2t.net/ark:/99166/w65t5x15
http://id.loc.gov/authorities/names/n82102517,http://n2t.net/ark:/99166/w64b41cc
http://id.loc.gov/authorities/names/n83827585,http://n2t.net/ark:/99166/w6028rmq
http://id.loc.gov/authorities/names/n95035640,http://n2t.net/ark:/99166/w6vm4z4p
http://id.loc.gov/authorities/names/nr92016389,http://n2t.net/ark:/99166/w6dz0vgt
http://id.loc.gov/authorities/names/n85381690,http://n2t.net/ark:/99166/w6x35dv9
http://id.loc.gov/authorities/names/n00067146,http://n2t.net/ark:/99166/w6h13qk8
http://id.loc.gov/authorities/names/n79097374,http://n2t.net/ark:/99166/w6kt9gk6
http://id.loc.gov/authorities/names/n85278587,http://n2t.net/ark:/99166/w6x34z5k
http://id.loc.gov/authorities/names/n95120370,http://n2t.net/ark:/99166/w6pc3719
