uri,sort_name,authority_id,created_by,
/agents/people/58819,"Griffin, Gillett G. (Gillett Good), 1928-2016",http://id.loc.gov/authorities/names/n86039628,amd243,http://www.wikidata.org/entity/Q1000026
/agents/people/75042,"Borowski, Tadeusz, 1922-1951",http://id.loc.gov/authorities/names/nr88000575,lyrasis-dts,http://www.wikidata.org/entity/Q100005
/agents/people/56150,"O'Mahoney, Joseph C. (Joseph Christopher), 1884-1962",http://id.loc.gov/authorities/names/n95071271,lyrasis-dts,http://www.wikidata.org/entity/Q1000051
/agents/corporate_entities/7814,"Children's Hospital Medical Center (Boston, Mass.)",http://id.loc.gov/authorities/names/n79148147,lyrasis-dts,http://www.wikidata.org/entity/Q1000479
/agents/people/76793,"Gandhi, Mahatma, 1869-1948",http://id.loc.gov/authorities/names/n79041626,amd243,http://www.wikidata.org/entity/Q1001
/agents/people/68537,"Mainvielle-Fodor, Mme. (Joséphine), 1789-1870",http://id.loc.gov/authorities/names/no2005072325,amd243,http://www.wikidata.org/entity/Q1002317
/agents/people/82955,"Astaire, Fred, 1899-1987",http://id.loc.gov/authorities/names/n50030703,amd243,http://www.wikidata.org/entity/Q100937
/agents/people/66546,"Carson, Rachel, 1907-1964",http://id.loc.gov/authorities/names/n50035129,amd243,http://www.wikidata.org/entity/Q100948
/agents/people/77318,"Vagts, Alfred, 1892-",http://id.loc.gov/authorities/names/n81028446,lyrasis-dts,http://www.wikidata.org/entity/Q100968
/agents/corporate_entities/11624,United States. Bureau of Indian Affairs,http://id.loc.gov/authorities/names/n79071198,amd243,http://www.wikidata.org/entity/Q1010563
/agents/people/60686,"Innocent, Pope, X, 1574-1655",http://id.loc.gov/authorities/names/n85084632,lyrasis-dts,http://www.wikidata.org/entity/Q101266
/agents/people/56665,"Gingrich, Arnold, 1903-1976",http://id.loc.gov/authorities/names/n50029911,amd243,http://www.wikidata.org/entity/Q1014386
/agents/people/81435,"Mbeki, Thabo, 1942-",http://id.loc.gov/authorities/names/no97044780,lyrasis-dts,http://www.wikidata.org/entity/Q101547
/agents/people/80366,"Donizetti, Gaetano, 1797-1848",http://id.loc.gov/authorities/names/n79132358,amd243,http://www.wikidata.org/entity/Q101698
/agents/people/77213,"Levy, Oscar, 1867-1946",http://id.loc.gov/authorities/names/n87901106,amd243,http://www.wikidata.org/entity/Q101732
/agents/people/84420,"Janis, Byron, 1928-",http://id.loc.gov/authorities/names/n81132006,amd243,http://www.wikidata.org/entity/Q1018612
/agents/people/59603,"Ribbentrop, Joachim von, 1893-1946",http://id.loc.gov/authorities/names/n87882783,amd243,http://www.wikidata.org/entity/Q101886
/agents/people/84299,"Wackernagel, Philipp, 1800-1877",http://id.loc.gov/authorities/names/n93033464,lyrasis-dts,http://www.wikidata.org/entity/Q101923
/agents/people/72213,"Seeger, Peter, 1919-2008",http://id.loc.gov/authorities/names/no88000693,amd243,http://www.wikidata.org/entity/Q102141
/agents/people/80129,"Silliman, Gold Selleck, 1732-1790",http://id.loc.gov/authorities/names/n80095303,lyrasis-dts,http://www.wikidata.org/entity/Q1022544
/agents/people/70522,"Altman, Sidney",http://id.loc.gov/authorities/names/n78044855,amd243,http://www.wikidata.org/entity/Q102266
/agents/people/64121,"Fuller, R. Buckminster (Richard Buckminster), 1895-1983",http://id.loc.gov/authorities/names/n79006776,amd243,http://www.wikidata.org/entity/Q102289
/agents/people/79715,"Kredel, Fritz, 1900-1973",http://id.loc.gov/authorities/names/n80017911,amd243,http://www.wikidata.org/entity/Q102446
/agents/people/56774,"Samuelson, Paul A. (Paul Anthony), 1915-2009",http://id.loc.gov/authorities/names/n50019332,amd243,http://www.wikidata.org/entity/Q102454
/agents/people/83108,"Kahler, Erich, 1885-1970",http://id.loc.gov/authorities/names/n50045068,lyrasis-dts,http://www.wikidata.org/entity/Q102495
/agents/people/67885,"Stowe, Harriet Beecher, 1811-1896",http://id.loc.gov/authorities/names/n79093331,amd243,http://www.wikidata.org/entity/Q102513
/agents/people/68848,"Swenson, May, 1913-1989",http://id.loc.gov/authorities/names/n50011616,amd243,http://www.wikidata.org/entity/Q1026443
/agents/people/58980,"Parry, Caleb Hillier, 1755-1822",http://id.loc.gov/authorities/names/n86835034,lyrasis-dts,http://www.wikidata.org/entity/Q1026540
/agents/people/69001,"Goddard, Calvin, 1768-1842",http://id.loc.gov/authorities/names/n98084743,lyrasis-dts,http://www.wikidata.org/entity/Q1027656
/agents/corporate_entities/11113,"Expo (International Exhibitions Bureau) ($d: 1998 $c: Lisbon, Portugal)",http://id.loc.gov/authorities/names/n93066879,amd243,http://www.wikidata.org/entity/Q10278763
/agents/corporate_entities/9869,"North American Phalanx (Phalanx, N.J.)",http://id.loc.gov/authorities/names/n86125372,lyrasis-dts,http://www.wikidata.org/entity/Q10279862
/agents/people/59431,"Boethius, -524",http://id.loc.gov/authorities/names/n79029805,amd243,http://www.wikidata.org/entity/Q102851
/agents/people/72785,"Dannay, Frederic, 1905-1982",http://id.loc.gov/authorities/names/n88172361,lyrasis-dts,http://www.wikidata.org/entity/Q10285740
/agents/corporate_entities/7952,Teʼaṭron ha-Ḳameri shel Tel-Aviv,http://id.loc.gov/authorities/names/nr97039961,lyrasis-dts,http://www.wikidata.org/entity/Q1028633
/agents/people/61086,"Chevillard, Camille, 1859-1923",http://id.loc.gov/authorities/names/n88023323,amd243,http://www.wikidata.org/entity/Q1029147
/agents/people/68177,"Roy, Camille, 1870-1943",http://id.loc.gov/authorities/names/n86851693,lyrasis-dts,http://www.wikidata.org/entity/Q1029261
/agents/people/57461,"Baldwin, Hanson Weightman, 1903-1991",http://id.loc.gov/authorities/names/n79129585,lyrasis-dts,http://www.wikidata.org/entity/Q10293836
