uri,sort_name,authority_id,created_by,
/agents/people/56134,"Curtis, Samuel T.",http://id.loc.gov/authorities/names/n2006164210,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56138,"Croxton, Arthur, 1868-",http://id.loc.gov/authorities/names/no2009026998,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56146,"Altman, Gavro",http://id.loc.gov/authorities/names/n83149782,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56176,"Bichovski, Harcha",http://id.loc.gov/authorities/names/nr90024335,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56181,"Whittelsey, Chauncey, 1783-1834",http://id.loc.gov/authorities/names/nr2006006487,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56192,"Morris, J. N. (Jeremy Noah)",http://id.loc.gov/authorities/names/no2002042337,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56204,"Hewit, Nathaniel, 1788-1867",http://id.loc.gov/authorities/names/n92027334,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56254,"Raymond, Alice F.",http://id.loc.gov/authorities/names/no2001078439,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56257,"Dana, Arnold Guyot, 1862-1947",http://id.loc.gov/authorities/names/no2006060393,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56286,"Capece, Alessandro, 1575?-",http://id.loc.gov/authorities/names/no2010070357,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56287,"Hill, Percy A., -1937",http://id.loc.gov/authorities/names/no00070025,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56300,"Danes, Gibson A.",http://id.loc.gov/authorities/names/n80104332,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56305,"Alexander, Michael J.",http://id.loc.gov/authorities/names/n79097374,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56307,"Hirschfeld, Gerhard, 1936-",http://id.loc.gov/authorities/names/n85278587,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56321,"Reeve, Charles McCormick, 1847-1947",http://id.loc.gov/authorities/names/no2001011263,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56324,"Troostwyk, Isidore",http://id.loc.gov/authorities/names/n94028523,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56332,"Beers, Nathan, 1753-1849",http://id.loc.gov/authorities/names/n88257548,lyrasis-dts,Could not retrieve Wikidata URI
/agents/people/56346,"Beach, Stanley Yale",http://id.loc.gov/authorities/names/n82103613,lyrasis-dts,Could not retrieve Wikidata URI
